iter	Passed	Remaining
0	154	154195
1	155	77787
2	156	52092
3	157	39215
4	158	31518
5	159	26357
6	159	22667
7	160	19905
8	161	17773
9	162	16089
10	163	14711
11	164	13553
12	165	12552
13	166	11707
14	167	10981
15	167	10328
16	168	9749
17	169	9236
18	169	8775
19	170	8359
20	171	7984
21	172	7648
22	173	7350
23	174	7078
24	174	6815
25	175	6575
26	176	6351
27	176	6141
28	177	5944
29	178	5764
30	179	5597
31	179	5441
32	180	5293
33	181	5152
34	182	5023
35	182	4897
36	183	4780
37	184	4674
38	185	4572
39	186	4471
40	186	4373
41	187	4283
42	188	4197
43	189	4112
44	190	4038
45	191	3965
46	192	3893
47	192	3823
48	193	3759
49	194	3694
50	195	3640
51	196	3587
52	197	3531
53	198	3475
54	199	3420
55	199	3368
56	200	3316
57	201	3266
58	201	3219
59	203	3182
60	204	3142
61	205	3103
62	205	3062
63	206	3021
64	208	2992
65	209	2962
66	210	2928
67	211	2895
68	212	2862
69	213	2839
70	215	2823
71	216	2792
72	217	2760
73	218	2728
74	218	2698
75	219	2668
76	220	2639
77	221	2613
78	222	2591
79	222	2563
80	223	2536
81	224	2509
82	224	2481
83	225	2455
84	225	2431
85	226	2409
86	227	2390
87	228	2371
88	229	2350
89	230	2329
90	231	2309
91	231	2288
92	233	2278
93	234	2259
94	235	2243
95	236	2224
96	237	2206
97	237	2188
98	238	2170
99	239	2154
100	240	2138
101	240	2121
102	241	2104
103	242	2087
104	242	2070
105	243	2054
106	244	2038
107	245	2025
108	246	2014
109	247	2000
110	248	1986
111	248	1972
112	249	1957
113	250	1943
114	250	1929
115	251	1916
116	252	1903
117	253	1891
118	253	1878
119	254	1866
120	255	1853
121	255	1840
122	256	1828
123	257	1817
124	258	1807
125	259	1796
126	259	1785
127	260	1774
128	261	1765
129	262	1756
130	263	1747
131	264	1740
132	265	1730
133	266	1720
134	267	1711
135	267	1701
136	268	1691
137	269	1683
138	270	1675
139	271	1668
140	272	1659
141	272	1648
142	273	1639
143	274	1629
144	274	1620
145	275	1614
146	277	1607
147	277	1600
148	278	1591
149	279	1582
150	279	1574
151	280	1566
152	281	1557
153	282	1549
154	283	1543
155	284	1536
156	284	1528
157	285	1521
158	286	1514
159	286	1506
160	287	1497
161	288	1491
162	289	1484
163	289	1477
164	290	1471
165	291	1464
166	292	1457
167	292	1450
168	293	1443
169	294	1437
170	295	1431
171	296	1425
172	296	1418
173	297	1411
174	298	1405
175	298	1398
176	299	1391
177	300	1385
178	301	1380
179	301	1375
180	302	1369
181	303	1363
182	304	1357
183	304	1351
184	305	1346
185	306	1341
186	307	1337
187	308	1333
188	309	1327
189	310	1322
190	310	1316
191	311	1311
192	312	1305
193	313	1301
194	314	1297
195	315	1292
196	315	1287
197	316	1282
198	317	1277
199	317	1271
200	318	1267
201	319	1263
202	321	1262
203	322	1260
204	323	1255
205	324	1251
206	326	1249
207	327	1245
208	327	1240
209	328	1235
210	329	1230
211	329	1225
212	330	1220
213	331	1216
214	332	1212
215	332	1208
216	333	1203
217	334	1199
218	335	1194
219	335	1190
220	336	1186
221	337	1181
222	337	1177
223	339	1175
224	340	1171
225	340	1166
226	341	1162
227	342	1158
228	342	1153
229	343	1149
230	344	1145
231	344	1141
232	345	1137
233	346	1133
234	347	1130
235	347	1126
236	348	1122
237	349	1118
238	350	1114
239	350	1110
240	351	1106
241	352	1103
242	352	1099
243	353	1095
244	354	1091
245	354	1087
246	355	1083
247	356	1079
248	356	1076
249	357	1072
250	358	1069
251	358	1065
252	359	1061
253	360	1058
254	361	1054
255	361	1051
256	362	1049
257	363	1046
258	364	1043
259	365	1039
260	366	1036
261	366	1033
262	367	1029
263	368	1026
264	368	1022
265	369	1019
266	370	1016
267	371	1013
268	371	1010
269	372	1006
270	373	1003
271	373	1000
272	374	997
273	375	994
274	375	990
275	376	988
276	377	984
277	378	981
278	378	978
279	379	975
280	380	972
281	380	969
282	381	966
283	382	963
284	382	960
285	383	957
286	384	954
287	384	951
288	385	948
289	386	945
290	386	942
291	387	939
292	388	937
293	389	934
294	390	932
295	390	929
296	391	926
297	392	923
298	392	920
299	393	918
300	394	915
301	395	913
302	395	910
303	396	907
304	397	904
305	397	902
306	398	899
307	399	896
308	399	893
309	400	891
310	401	888
311	401	885
312	402	883
313	403	880
314	403	878
315	404	875
316	405	873
317	405	870
318	406	868
319	407	866
320	408	863
321	409	861
322	409	858
323	410	856
324	410	853
325	411	851
326	412	848
327	413	846
328	413	843
329	414	841
330	415	838
331	415	836
332	416	834
333	417	831
334	418	830
335	419	829
336	420	827
337	421	825
338	422	823
339	423	821
340	423	819
341	424	817
342	425	815
343	426	813
344	427	811
345	428	809
346	429	807
347	429	805
348	430	803
349	431	802
350	433	800
351	434	798
352	434	796
353	435	794
354	436	792
355	436	790
356	437	788
357	438	786
